# AMH therapeutic classification - 21 top-level classes, 276 leaf subclasses
# Source: SA Medicines Formulary Framework, Appendix 1: Therapeutic Classes
# of Medicines (AMH), supplied in full by the user.
# Checked in full by scripts/drug_classes.py; results in commit 3e543ef.
# Format: <top-level class> | <leaf subclass>

  1. 1 Allergy and anaphylaxis | Sympathomimetics (anaphylaxis)
  2. 1 Allergy and anaphylaxis | Sedating antihistamines
  3. 1 Allergy and anaphylaxis | Less sedating antihistamines
  4. 2 Anaesthetics | IV general anaesthetics
  5. 2 Anaesthetics | Inhaled anaesthetics
  6. 2 Anaesthetics | Non-depolarising neuromuscular blockers
  7. 2 Anaesthetics | Depolarising neuromuscular blockers
  8. 2 Anaesthetics | Alpha2 and imidazoline agonists
  9. 2 Anaesthetics | Opioids (anaesthesia)
 10. 2 Anaesthetics | Anticholinergics (anaesthesia)
 11. 2 Anaesthetics | Drugs for reversing neuromuscular blockade
 12. 2 Anaesthetics | Local anaesthetics
 13. 3 Analgesics | Non-opioid analgesics
 14. 3 Analgesics | Opioid analgesics
 15. 4 Antidotes and antivenoms | Gastrointestinal decontaminants
 16. 4 Antidotes and antivenoms | Antidotes
 17. 4 Antidotes and antivenoms | Snake antivenoms
 18. 4 Antidotes and antivenoms | Other antivenoms
 19. 5 Anti-infectives | Aminoglycosides
 20. 5 Anti-infectives | Carbapenems
 21. 5 Anti-infectives | Cephalosporins
 22. 5 Anti-infectives | Glycopeptides
 23. 5 Anti-infectives | Lincosamides
 24. 5 Anti-infectives | Macrolides
 25. 5 Anti-infectives | Penicillins
 26. 5 Anti-infectives | Quinolones
 27. 5 Anti-infectives | Rifamycins
 28. 5 Anti-infectives | Tetracyclines
 29. 5 Anti-infectives | Antimycobacterials
 30. 5 Anti-infectives | Other antibacterials
 31. 5 Anti-infectives | Azoles (antifungal)
 32. 5 Anti-infectives | Echinocandins
 33. 5 Anti-infectives | Other antifungals
 34. 5 Anti-infectives | Guanine analogues (antiviral)
 35. 5 Anti-infectives | Neuraminidase inhibitors
 36. 5 Anti-infectives | Antivirals for viral hepatitis
 37. 5 Anti-infectives | Other antivirals
 38. 5 Anti-infectives | NRTIs
 39. 5 Anti-infectives | NNRTIs
 40. 5 Anti-infectives | HIV-Protease inhibitors
 41. 5 Anti-infectives | Integrase inhibitors
 42. 5 Anti-infectives | Other antiretrovirals
 43. 5 Anti-infectives | Antimalarials
 44. 5 Anti-infectives | Other antiprotozoals
 45. 5 Anti-infectives | Benzimidazoles (anthelmintic)
 46. 5 Anti-infectives | Other anthelmintics
 47. 6 Cardiovascular | Aldosterone antagonists
 48. 6 Cardiovascular | Loop diuretics
 49. 6 Cardiovascular | Sympathomimetics (cardiovascular)
 50. 6 Cardiovascular | Other drugs for heart failure
 51. 6 Cardiovascular | Nitrates
 52. 6 Cardiovascular | Other antianginal drugs
 53. 6 Cardiovascular | Thiazide and related diuretics
 54. 6 Cardiovascular | Other diuretics
 55. 6 Cardiovascular | ACE inhibitors
 56. 6 Cardiovascular | Sartans
 57. 6 Cardiovascular | Calcium channel blockers
 58. 6 Cardiovascular | Beta-blockers
 59. 6 Cardiovascular | Other antihypertensives
 60. 6 Cardiovascular | Antiarrhythmics
 61. 6 Cardiovascular | Statins
 62. 6 Cardiovascular | Fibrates
 63. 6 Cardiovascular | PCSK9 inhibitors
 64. 6 Cardiovascular | Other drugs for dyslipidaemia
 65. 6 Cardiovascular | Prostacyclins
 66. 6 Cardiovascular | Endothelin antagonists
 67. 6 Cardiovascular | PDE5 inhibitors (cardiovascular)
 68. 6 Cardiovascular | Other drugs for pulmonary hypertension
 69. 6 Cardiovascular | Drugs for peripheral vascular disease
 70. 6 Cardiovascular | Drugs for orthostatic hypotension
 71. 7 Blood and electrolytes | Heparins
 72. 7 Blood and electrolytes | Vitamin K antagonists
 73. 7 Blood and electrolytes | Direct thrombin inhibitors
 74. 7 Blood and electrolytes | Factor Xa inhibitors
 75. 7 Blood and electrolytes | Glycoprotein IIb/IIIa inhibitors
 76. 7 Blood and electrolytes | Thienopyridines
 77. 7 Blood and electrolytes | Other antiplatelet drugs
 78. 7 Blood and electrolytes | Thrombolytics
 79. 7 Blood and electrolytes | Other drugs affecting haemostasis
 80. 7 Blood and electrolytes | Drugs for reversing anticoagulation
 81. 7 Blood and electrolytes | Erythropoietin agonists
 82. 7 Blood and electrolytes | Other drugs for anaemias
 83. 7 Blood and electrolytes | Drugs that chelate iron
 84. 7 Blood and electrolytes | Drugs for potassium imbalance
 85. 7 Blood and electrolytes | Phosphate binders
 86. 7 Blood and electrolytes | Other drugs for electrolyte imbalance
 87. 8 Dermatological | Corticosteroids (skin)
 88. 8 Dermatological | Tars
 89. 8 Dermatological | Other drugs for eczema
 90. 8 Dermatological | Immunosuppressants (psoriasis)
 91. 8 Dermatological | Other drugs for psoriasis
 92. 8 Dermatological | Retinoids (skin)
 93. 8 Dermatological | Retinoids (oral)
 94. 8 Dermatological | Other drugs for acne
 95. 8 Dermatological | Azoles (skin)
 96. 8 Dermatological | Other antifungals (skin)
 97. 8 Dermatological | Antibacterials (skin)
 98. 8 Dermatological | Antivirals (skin)
 99. 8 Dermatological | Scabicides and pediculicides
100. 8 Dermatological | Drugs for warts
101. 8 Dermatological | Drugs for actinic keratoses
102. 8 Dermatological | Drugs for alopecia
103. 8 Dermatological | Other dermatological drugs
104. 9 Ear, nose and throat | Antibacterials (ear)
105. 9 Ear, nose and throat | Corticosteroids with anti-infectives (ear)
106. 9 Ear, nose and throat | Antiseptics (ear)
107. 9 Ear, nose and throat | Cerumenolytics
108. 9 Ear, nose and throat | Drugs for vestibular disorders
109. 9 Ear, nose and throat | Oral decongestants
110. 9 Ear, nose and throat | Intranasal decongestants
111. 9 Ear, nose and throat | Corticosteroids (intranasal)
112. 9 Ear, nose and throat | Antihistamines (intranasal)
113. 9 Ear, nose and throat | Other drugs for rhinitis and sinusitis
114. 9 Ear, nose and throat | Drugs for other nasal conditions
115. 9 Ear, nose and throat | Drugs for mouth and throat conditions
116. 10 Endocrine | Sulfonylureas
117. 10 Endocrine | Dipeptidyl peptidase-4 inhibitors
118. 10 Endocrine | Glucagon-like peptide-1 analogues
119. 10 Endocrine | Sodium-glucose co-transporter 2 inhibitors
120. 10 Endocrine | Other drugs for diabetes
121. 10 Endocrine | Drugs for hypoglycaemia
122. 10 Endocrine | Thyroid hormones
123. 10 Endocrine | Antithyroid drugs
124. 10 Endocrine | Other drugs for thyroid disorders
125. 10 Endocrine | Bisphosphonates
126. 10 Endocrine | Vitamin D
127. 10 Endocrine | Other drugs affecting bone
128. 10 Endocrine | Corticosteroids (adrenal insufficiency)
