system,condition,verdict,occurrences,first_location,scope_judgement
Cardiovascular,Malignant hyperthermia,IN A TAUGHT SECTION,4,03a_Anaesthetics_Primer.md#Pre-Operative Assessment,covered - named inside a teaching entry
Cardiovascular,Heart Failure with Preserved Ejection Fraction,ACRONYM MATCH ONLY,6,generated-initialism match only - not evidence of coverage,
Cardiovascular,Peripheral artery aneurysm,IN A TAUGHT SECTION,1,01_Cardiovascular.md#0.35.9 Popliteal Artery Aneurysm,covered - named inside a teaching entry
Cardiovascular,Vascular claudication,ABSENT,0,weak-signal:claudication=15,COVERED-SYNONYM: claudication under PAD
Cardiovascular,Aneurysmal degeneration,IN A TAUGHT SECTION,1,01_Cardiovascular.md#0.35.5 Aortic Dissection,covered - named inside a teaching entry
Cardiovascular,Blunt Myocardial Injury,ABSENT,0,weak-signal:Myocardial=16,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Cardiovascular,Brugada Syndrome,OWNS ENTRY,3,01_Cardiovascular.md#0.18 Brugada Syndrome,covered - owns an entry
Cardiovascular,Cardiovascular diseases,MENTIONED,1,,named in prose only - not individually verified
Cardiovascular,Carotid-cavernous fistula,ABSENT,0,weak-signal:cavernous=5,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Cardiovascular,Coronary artery disease (CAD),IN A TAUGHT SECTION,9,01_Cardiovascular.md#0.3 Ischaemic Heart Disease,covered - named inside a teaching entry
Cardiovascular,Fusiform aneurysm,ABSENT,0,weak-signal:Fusiform=2,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Cardiovascular,Left Ventricular Noncompaction Cardiomyopathy,ABSENT,0,weak-signal:Cardiomyopathy=30,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Cardiovascular,Loeffler's Endocarditis,IN A TAUGHT SECTION,1,01_Cardiovascular.md#0.41 Restrictive Cardiomyopathy,covered - named inside a teaching entry
Cardiovascular,LV hypertrophy,IN A TAUGHT SECTION,3,01_Cardiovascular.md#0.23 Hypertrophic Obstructive Cardiomyopathy (HOCM/HCM),covered - named inside a teaching entry
Cardiovascular,Myocarditis,IN A TAUGHT SECTION,17,01_Cardiovascular.md#0.16 Long QT Syndrome,covered - named inside a teaching entry
Cardiovascular,Patent foramen ovale (PFO),IN A TAUGHT SECTION,1,15_06_Paeds_-_Cyanotic_CHD__Kawasaki_Disease__Murmurs.md#Ebstein's anomaly,covered - named inside a teaching entry
Cardiovascular,Reticular veins,MENTIONED,1,,named in prose only - not individually verified
Cardiovascular,Right Bundle Branch Block,ABSENT,0,,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Cardiovascular,Saccular aneurysm,ABSENT,0,,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Cardiovascular,Second Degree AV Block,ABSENT,0,,"COVERED-SYNONYM: 'Mobitz I, Wenckebach' / 'Mobitz II' (l.492-3)"
Cardiovascular,Sinus Arrest,ABSENT,0,,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Cardiovascular,Stable Angina,OWNS ENTRY,8,01_Cardiovascular.md#0.1.5 Mx – Chronic/long-term: unstable angina & secondary prevention (lifelong),covered - owns an entry
Cardiovascular,Tetralogy of Fallot,OWNS ENTRY,8,15_06_Paeds_-_Cyanotic_CHD__Kawasaki_Disease__Murmurs.md#Tetralogy of Fallot (ToF),covered - owns an entry
Cardiovascular,Valvular heart disease,OWNS ENTRY,4,01_Cardiovascular.md#0.21 Valvular Heart Disease,covered - owns an entry
Cardiovascular,Valvular incompetence,IN A TAUGHT SECTION,1,01_Cardiovascular.md#0.30 Infective Endocarditis,covered - named inside a teaching entry
Cardiovascular,Aortic stenosis,IN A TAUGHT SECTION,19,01_Cardiovascular.md#0.23 Hypertrophic Obstructive Cardiomyopathy (HOCM/HCM),covered - named inside a teaching entry
Cardiovascular,Aortic Tear,ABSENT,0,,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Cardiovascular,Macrocystic lymphatic malformation,MENTIONED,1,,named in prose only - not individually verified
Cardiovascular,Microcystic lymphatic malformation,ABSENT,0,weak-signal:malformation=38,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Cardiovascular,Vascular occlusion,ABSENT,0,weak-signal:occlusion=36,UMBRELLA LABEL - not a condition an entry could own
Cardiovascular,Venous stasis edema,ABSENT,0,,UMBRELLA LABEL - not a condition an entry could own
Cardiovascular,Abdominal Aortic Aneurysm (AAA),IN A TAUGHT SECTION,18,01_Cardiovascular.md#0.35.4 Aortic Aneurysm,covered - named inside a teaching entry
Cardiovascular,Aortic dissection,OWNS ENTRY,14,01_Cardiovascular.md#0.35.5 Aortic Dissection,covered - owns an entry
Cardiovascular,Double aortic arch,ABSENT,0,,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Cardiovascular,Hemangioma,OWNS ENTRY,5,15_23b_Paeds_-_Minor_Neonatal_Problems.md#Infantile haemangioma (strawberry naevus),covered - owns an entry
Cardiovascular,LV aneurysm,MENTIONED,1,,named in prose only - not individually verified
Cardiovascular,Obstructive Shock,OWNS ENTRY,0,01_Cardiovascular.md#0.20.4 Obstructive shock,covered - owns an entry
Cardiovascular,Peripheral vascular disease (PVD),OWNS ENTRY,11,Examination.md#Peripheral Vascular / ABPI Assessment,covered - owns an entry
Cardiovascular,Superior vena cava syndrome,OWNS ENTRY,0,10_10a_Haemonc_-_Haematological_and_Oncological_Emergencies.md#Superior vena cava obstruction (SVCO),covered - owns an entry
Cardiovascular,Supraventricular Tachycardia,OWNS ENTRY,0,01_Cardiovascular.md#0.9.1 Supraventricular tachycardia (SVT),covered - owns an entry
Cardiovascular,Takayasu's arteritis,OWNS ENTRY,1,12_04_Rheum_-_Vasculitis.md#Takayasu's arteritis,covered - owns an entry
Cardiovascular,Third Degree AV Block,MENTIONED,1,,named in prose only - not individually verified
Cardiovascular,Deep vein thrombosis (DVT),OWNS ENTRY,49,01_Cardiovascular.md#0.28 Deep Vein Thrombosis (DVT),covered - owns an entry
Cardiovascular,Hemodynamic shock,ABSENT,0,weak-signal:Hemodynamic=33,UMBRELLA LABEL - not a condition an entry could own
Cardiovascular,Hypertension (HTN),OWNS ENTRY,211,01_Cardiovascular.md#0.2 Hypertension,covered - owns an entry
Cardiovascular,Lymphedema tarda,ABSENT,0,weak-signal:Lymphedema=5,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Cardiovascular,Unstable Angina,OWNS ENTRY,4,01_Cardiovascular.md#0.1.5 Mx – Chronic/long-term: unstable angina & secondary prevention (lifelong),covered - owns an entry
Cardiovascular,Varicose veins,OWNS ENTRY,9,01_Cardiovascular.md#0.35.6 Varicose Veins,covered - owns an entry
Cardiovascular,Venous Thromboembolism,OWNS ENTRY,0,10_06b_Haemonc_-_Thrombophilia__APS__Thrombocytosis__Methaemoglobinaemia.md#Postpartum venous thromboembolism (VTE),covered - owns an entry
Cardiovascular,Fibromuscular dysplasia,ABSENT,0,,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Cardiovascular,Long QT Syndrome,OWNS ENTRY,2,01_Cardiovascular.md#0.16 Long QT Syndrome,covered - owns an entry
Cardiovascular,Mitral Stenosis,IN A TAUGHT SECTION,12,01_Cardiovascular.md#0.22a Rheumatic Heart Disease (RHD),covered - named inside a teaching entry
Cardiovascular,Patent ductus arteriosus,OWNS ENTRY,4,15_05_Paeds_-_Acyanotic_Congenital_Heart_Disease.md#Patent ductus arteriosus (PDA),covered - owns an entry
Cardiovascular,Pseudoaneurysm,ABSENT,0,,GAP: zero hits; post-catheterisation femoral pseudoaneurysm is a ward finding
Cardiovascular,Superficial thrombophlebitis,IN A TAUGHT SECTION,2,01_Cardiovascular.md#0.35.6 Varicose Veins,covered - named inside a teaching entry
Cardiovascular,Graft thrombosis,ABSENT,0,weak-signal:thrombosis=43,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Cardiovascular,Heart Failure with Reduced Ejection Fraction,ABSENT,0,weak-signal:Ejection=13,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Cardiovascular,Ventricular Fibrillation,OWNS ENTRY,2,01_Cardiovascular.md#0.6 Ventricular Fibrillation,covered - owns an entry
Cardiovascular,CVD events,IN A TAUGHT SECTION,1,01_Cardiovascular.md#0.39 Dyslipidaemia,covered - named inside a teaching entry
Cardiovascular,First Degree AV Block,ABSENT,0,,COVERED-SYNONYM: 01_Cardiovascular 'first degree heart block' (l.537)
Cardiovascular,Mesenteric Ischemia,IN A TAUGHT SECTION,4,03_Gastrointestinal.md#Ischaemic Bowel Disease,covered - named inside a teaching entry
Cardiovascular,Orthostatic hypotension,IN A TAUGHT SECTION,13,04_Neurology.md#Syncope,covered - named inside a teaching entry
Cardiovascular,Pericardial Effusion,IN A TAUGHT SECTION,6,01_Cardiovascular.md#0.31 Pericarditis,covered - named inside a teaching entry
Cardiovascular,Popliteal entrapment syndrome,ABSENT,0,weak-signal:entrapment=2,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Cardiovascular,Post-thrombotic syndrome,IN A TAUGHT SECTION,1,01_Cardiovascular.md#0.28 Deep Vein Thrombosis (DVT),covered - named inside a teaching entry
