Aminoglycosides	aminoglycoside	gentamicin|tobramycin|amikacin
Ansamycins	rifamycin|rifamycins	rifampicin|rifabutin
Bisbiguanide Antiseptics	chlorhexidine	chlorhexidine
Carbacephem	carbacephem	loracarbef
Carbapenems	carbapenem	meropenem|imipenem|ertapenem
Cephalosporins (1st Gen)	first-generation cephalosporin|1st generation cephalosporin	cefazolin|cephazolin|cephalexin|cefalexin
Cephalosporins (2nd Gen)	second-generation cephalosporin|2nd generation cephalosporin	cefuroxime|cefaclor|cefoxitin
Cephalosporins (3rd Gen)	third-generation cephalosporin|3rd generation cephalosporin	ceftriaxone|cefotaxime|ceftazidime
Cephalosporins (4th Gen)	fourth-generation cephalosporin|4th generation cephalosporin	cefepime|cefpirome
Cephalosporins (5th Gen)	fifth-generation cephalosporin|5th generation cephalosporin	ceftaroline|ceftobiprole
Drugs against mycobacteria	antituberculous|anti-tuberculous|antimycobacterial|TB treatment	isoniazid|pyrazinamide|ethambutol|dapsone
Glycopeptides	glycopeptide	vancomycin|teicoplanin
Lincosamides(Bs)	lincosamide	clindamycin|lincomycin
Lipopeptide	lipopeptide	daptomycin
Macrolides(Bs)	macrolide	azithromycin|clarithromycin|erythromycin|roxithromycin
Metronidazole	nitroimidazole	metronidazole|tinidazole
Monobactams	monobactam	aztreonam
Nitrofurans	nitrofuran	nitrofurantoin
Oxazolidinones(Bs)	oxazolidinone	linezolid|tedizolid
Penicillin combinations	beta-lactamase inhibitor combination|augmentin	clavulanate|tazobactam|sulbactam
Penicillins (Narrow/Broad Spectrum)	penicillin	benzylpenicillin|amoxicillin|flucloxacillin|phenoxymethylpenicillin
Pleuromutilin antibiotics	pleuromutilin	lefamulin|retapamulin
Polypeptides	polymyxin	colistin|polymyxin|bacitracin
Quinolones / Fluoroquinolones	fluoroquinolone|quinolone	ciprofloxacin|norfloxacin|moxifloxacin
Sulfonamides(Bs)	sulfonamide|sulphonamide	sulfamethoxazole|trimethoprim|sulfadiazine
Tetracyclines(Bs)	tetracycline	doxycycline|minocycline|lymecycline
Interferons (Antiviral / Antineoplastic)	interferon	interferon
Antimalarials / DMARDs	antimalarial|DMARD|disease-modifying antirheumatic	hydroxychloroquine|chloroquine|sulfasalazine
H1 Antagonists (1st Gen)	sedating antihistamine|first-generation antihistamine	promethazine|chlorpheniramine|diphenhydramine
Herbal / Botanical Supplements	herbal|complementary medicine	st john|ginkgo|ginseng
Mu-Opioid Receptor Agonists (Full)	full mu agonist|full opioid agonist	morphine|fentanyl|hydromorphone
Opioid Analgesics (Strong / Full Agonists)	strong opioid	morphine|oxycodone|fentanyl|hydromorphone
Opioid Analgesics (Weak / Atypical)	weak opioid	codeine|tramadol|tapentadol
Mu-Opioid Receptor Agonists (Partial)	partial mu agonist|partial opioid agonist	buprenorphine
Inhalational Anesthetics (Gases)	inhalational anaesthetic|anaesthetic gas	nitrous oxide|xenon
Inhalational Anesthetics (Volatiles)	volatile anaesthetic	sevoflurane|isoflurane|desflurane|halothane
Intravenous Anesthetics (GABA-A Modulators)	intravenous anaesthetic|induction agent	propofol|thiopentone|thiopental
Intravenous Anesthetics (NMDA Antagonists)	dissociative anaesthetic	ketamine
Local Anesthetics (Amides)	amide local anaesthetic	lignocaine|lidocaine|bupivacaine|ropivacaine
Local Anesthetics (Esters)	ester local anaesthetic	procaine|tetracaine|amethocaine|cocaine
Parasympatholytics / Vagolytics	vagolytic|parasympatholytic	atropine|glycopyrrolate|glycopyrronium
Muscarinic Antagonists (General)	muscarinic antagonist	hyoscine|atropine|oxybutynin
